Movie Title,Rating,Runtime,Genres,IMDB User Rating,Metascore Rating,Description,Number of Votes
"4.
Nimona
(2023)",PG,101 min,"Animation, Action, Adventure",7.7,"75        
        ","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","Votes:
15,615"
"5.
Guardians of the Galaxy Vol. 3
(2023)",PG-13,150 min,"Action, Adventure, Comedy",8.1,"64        
        ","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","Votes:
213,698"
"6.
Elemental
(2023)",PG,101 min,"Animation, Adventure, Comedy",7.1,"58        
        ","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.","Votes:
21,970"
"7.
The Out-Laws
(2023)",R,95 min,"Action, Comedy, Crime",5.4,"36        
        ","A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.","Votes:
13,698"
"8.
Dungeons & Dragons: Honor Among Thieves
(2023)",PG-13,134 min,"Action, Adventure, Comedy",7.3,"72        
        ","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","Votes:
150,366"
"9.
Joy Ride
(2023)",R,95 min,Comedy,7,"76        
        ","Follows four Chinese-American friends as they bond and discover the truth of what it means to know and love who you are, while they travel through China in search of one of their birth mothers.","Votes:
3,861"
"10.
The Super Mario Bros. Movie
(2023)",PG,92 min,"Animation, Adventure, Comedy",7.1,"46        
        ","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.","Votes:
160,689"
"11.
Ruby Gillman, Teenage Kraken
(2023)",PG,91 min,"Animation, Action, Adventure",5.9,"50        
        ","A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined.","Votes:
2,493"
"13.
Spider-Man: Into the Spider-Verse
(2018)",PG,117 min,"Animation, Action, Adventure",8.4,"87        
        ",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Votes:
607,791
| Gross:
$190.24M"
"14.
Beau Is Afraid
(2023)",R,179 min,"Comedy, Drama, Horror",6.9,"63        
        ","Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.","Votes:
31,376"
"16.
A Man Called Otto
(2022)",PG-13,126 min,"Comedy, Drama",7.5,"51        
        ","Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around.","Votes:
103,222
| Gross:
$62.47M"
"17.
Babylon
(I) (2022)",R,189 min,"Comedy, Drama, History",7.2,"60        
        ","A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.","Votes:
125,881"
"18.
The Blackening
(2022)",R,97 min,"Comedy, Horror, Thriller",6.1,"69        
        ",Seven Black friends go away for the weekend and end up trapped in a cabin with a killer who has a vendetta. Will their street smarts and knowledge of horror movies help them stay alive? Probably not.,"Votes:
6,158"
"19.
Everything Everywhere All at Once
(2022)",R,139 min,"Action, Adventure, Comedy",7.8,"81        
        ",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Votes:
462,533
| Gross:
$72.86M"
"20.
Cocaine Bear
(2023)",R,95 min,"Comedy, Thriller",6,"54        
        ","An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine.","Votes:
79,921"
"21.
Renfield
(2023)",R,93 min,"Comedy, Fantasy, Horror",6.4,"53        
        ","Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.","Votes:
57,053"
"22.
The Menu
(2022)",R,107 min,"Comedy, Horror, Thriller",7.2,"71        
        ","A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.","Votes:
332,125"
"23.
The Wolf of Wall Street
(2013)",R,180 min,"Biography, Comedy, Crime",8.2,"75        
        ","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Votes:
1,477,497
| Gross:
$116.90M"
"24.
The Machine
(I) (2023)",R,112 min,"Action, Comedy",5.9,"37        
        ",Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.,"Votes:
7,631"
"25.
Ant-Man and the Wasp: Quantumania
(2023)",PG-13,124 min,"Action, Adventure, Comedy",6.1,"48        
        ","Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?","Votes:
189,501"
"27.
Bullet Train
(2022)",R,127 min,"Action, Comedy, Thriller",7.3,"49        
        ",Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,"Votes:
370,884
| Gross:
$103.37M"
"28.
BlackBerry
(2023)",R,120 min,"Biography, Comedy, Drama",7.4,"80        
        ",The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"Votes:
15,408"
"29.
Are You There God? It's Me, Margaret.
(2023)",PG-13,106 min,"Comedy, Drama, Family",7.4,"84        
        ","When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.","Votes:
10,101"
"30.
Once Upon a Time in Hollywood
(2019)",R,161 min,"Comedy, Drama",7.6,"83        
        ",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,"Votes:
785,699
| Gross:
$142.50M"
"31.
Shazam! Fury of the Gods
(2023)",PG-13,130 min,"Action, Adventure, Comedy",6,"47        
        ","The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.","Votes:
97,532"
"32.
Ghosted
(I) (2023)",PG-13,116 min,"Action, Adventure, Comedy",5.8,"34        
        ","Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.","Votes:
47,146"
"33.
Triangle of Sadness
(2022)",R,147 min,"Comedy, Drama",7.3,"63        
        ",A fashion model celebrity couple join an eventful cruise for the super-rich.,"Votes:
144,677"
"34.
American Pie
(1999)",R,95 min,Comedy,7,"58        
        ",Four teenage boys enter a pact to lose their virginity by prom night.,"Votes:
419,831
| Gross:
$102.56M"
"36.
Bridesmaids
(I) (2011)",R,125 min,"Comedy, Romance",6.8,"75        
        ","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.","Votes:
300,988
| Gross:
$169.11M"
"38.
Back to the Future
(1985)",PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,"87        
        ","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Votes:
1,248,668
| Gross:
$210.61M"
"39.
Little Miss Sunshine
(2006)",R,101 min,"Comedy, Drama",7.8,"80        
        ",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,"Votes:
499,071
| Gross:
$59.89M"
"40.
Roald Dahl's Matilda the Musical
(2022)",PG,117 min,"Comedy, Drama, Family",7,"72        
        ","An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results.","Votes:
24,565"
"41.
Operation Fortune: Ruse de Guerre
(2023)",R,114 min,"Action, Comedy, Thriller",6.3,"51        
        ",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"Votes:
63,739"
"43.
The Grand Budapest Hotel
(2014)",R,99 min,"Adventure, Comedy, Crime",8.1,"88        
        ","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Votes:
846,318
| Gross:
$59.10M"
"44.
Puss in Boots: The Last Wish
(2022)",PG,102 min,"Animation, Adventure, Comedy",7.9,"73        
        ","When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Votes:
140,438
| Gross:
$168.46M"
"45.
We're the Millers
(2013)",R,110 min,"Comedy, Crime",7,"44        
        ",A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,"Votes:
469,108
| Gross:
$150.39M"
"46.
The Sandlot
(1993)",PG,101 min,"Comedy, Drama, Family",7.8,"55        
        ","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.","Votes:
97,698
| Gross:
$32.42M"
"47.
The Perfect Find
(2023)",TV-MA,99 min,"Comedy, Drama, Romance",5.2,"57        
        ","After a high-profile firing, Jenna's fashion career comeback hits a snag when she falls for a charming, much younger coworker - who happens to be her boss's son. As sparks fly, Jenna must decide if she'll risk it all on a secret romance.","Votes:
1,948"
"48.
Guardians of the Galaxy
(2014)",PG-13,121 min,"Action, Adventure, Comedy",8,"76        
        ",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Votes:
1,229,006
| Gross:
$333.18M"
"49.
The Goonies
(1985)",PG,114 min,"Adventure, Comedy, Family",7.7,"62        
        ",A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,"Votes:
286,822
| Gross:
$61.50M"
"50.
Glass Onion
(2022)",PG-13,139 min,"Comedy, Crime, Drama",7.1,"81        
        ","Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case.","Votes:
400,987"
"2.
The Out-Laws
(2023)",R,95 min,"Action, Comedy, Crime",5.4,"36        
        ","A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.","Votes:
13,698"
"3.
John Wick: Chapter 4
(2023)",R,169 min,"Action, Crime, Thriller",7.8,"78        
        ","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Votes:
240,878"
"4.
Fast X
(2023)",PG-13,141 min,"Action, Adventure, Crime",5.9,"56        
        ",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"Votes:
78,228"
"5.
Infinity Pool
(2023)",R,117 min,"Crime, Horror, Mystery",6.1,"72        
        ","James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.","Votes:
35,886"
"6.
The Godfather
(1972)",R,175 min,"Crime, Drama",9.2,"100        
        ","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","Votes:
1,925,001
| Gross:
$134.97M"
"7.
Nobody
(I) (2021)",R,92 min,"Action, Crime, Drama",7.4,"64        
        ","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.","Votes:
293,560
| Gross:
$27.27M"
"8.
The Batman
(2022)",PG-13,176 min,"Action, Crime, Drama",7.8,"72        
        ","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","Votes:
710,616
| Gross:
$369.35M"
"9.
The Dark Knight
(2008)",PG-13,152 min,"Action, Crime, Drama",9,"84        
        ","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Votes:
2,739,285
| Gross:
$534.86M"
"10.
The Wolf of Wall Street
(2013)",R,180 min,"Biography, Comedy, Crime",8.2,"75        
        ","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Votes:
1,477,497
| Gross:
$116.90M"
"11.
Pulp Fiction
(1994)",R,154 min,"Crime, Drama",8.9,"95        
        ","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Votes:
2,123,398
| Gross:
$107.93M"
"12.
Shazam! Fury of the Gods
(2023)",PG-13,130 min,"Action, Adventure, Comedy",6,"47        
        ","The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.","Votes:
97,532"
"14.
John Wick
(2014)",R,101 min,"Action, Crime, Thriller",7.4,"68        
        ",An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.,"Votes:
704,527
| Gross:
$43.04M"
"15.
Heat
(1995)",R,170 min,"Action, Crime, Drama",8.3,"76        
        ",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"Votes:
682,692
| Gross:
$67.44M"
"17.
Prisoners
(2013)",R,153 min,"Crime, Drama, Mystery",8.1,"70        
        ","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Votes:
755,176
| Gross:
$61.00M"
"18.
The Grand Budapest Hotel
(2014)",R,99 min,"Adventure, Comedy, Crime",8.1,"88        
        ","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Votes:
846,318
| Gross:
$59.10M"
"19.
We're the Millers
(2013)",R,110 min,"Comedy, Crime",7,"44        
        ",A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,"Votes:
469,108
| Gross:
$150.39M"
"20.
No Country for Old Men
(2007)",R,122 min,"Crime, Drama, Thriller",8.2,"92        
        ",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Votes:
1,009,017
| Gross:
$74.28M"
"21.
The Departed
(2006)",R,151 min,"Crime, Drama, Thriller",8.5,"85        
        ",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Votes:
1,365,117
| Gross:
$132.38M"
"22.
To Catch a Killer
(2023)",R,119 min,"Action, Crime, Drama",6.6,"43        
        ",Baltimore. New Year's Eve. A talented but troubled police officer (Shailene Woodley) is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track down a disturbed individual terrorizing the city.,"Votes:
16,568"
"23.
Glass Onion
(2022)",PG-13,139 min,"Comedy, Crime, Drama",7.1,"81        
        ","Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case.","Votes:
400,987"
"24.
Se7en
(1995)",R,127 min,"Crime, Drama, Mystery",8.6,"65        
        ","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Votes:
1,710,459
| Gross:
$100.13M"
"25.
Goodfellas
(1990)",R,145 min,"Biography, Crime, Drama",8.7,"92        
        ","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Votes:
1,200,491
| Gross:
$46.84M"
"26.
American Psycho
(2000)",R,102 min,"Crime, Drama, Horror",7.6,"64        
        ","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","Votes:
663,745
| Gross:
$15.07M"
"28.
The Gentlemen
(2019)",R,113 min,"Action, Comedy, Crime",7.8,"51        
        ","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Votes:
364,561
| Gross:
$36.47M"
"29.
The Unbearable Weight of Massive Talent
(2022)",R,107 min,"Action, Comedy, Crime",7,"68        
        ",Moviestar Nick Cage is channeling his iconic characters as he's caught between a superfan and a CIA agent.,"Votes:
128,839"
"30.
The Silence of the Lambs
(1991)",R,118 min,"Crime, Drama, Thriller",8.6,"86        
        ","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Votes:
1,476,900
| Gross:
$130.74M"
"31.
The Green Mile
(1999)",R,189 min,"Crime, Drama, Fantasy",8.6,"61        
        ","A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.","Votes:
1,344,834
| Gross:
$136.80M"
"32.
The Nice Guys
(2016)",R,116 min,"Action, Comedy, Crime",7.3,"70        
        ","In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","Votes:
346,380
| Gross:
$36.26M"
"33.
Joker
(I) (2019)",R,122 min,"Crime, Drama, Thriller",8.4,"59        
        ","The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.","Votes:
1,370,900
| Gross:
$335.45M"
"34.
Primal Fear
(1996)",R,129 min,"Crime, Drama, Mystery",7.7,"47        
        ","An altar boy is accused of murdering a priest, and the truth is buried several layers deep.","Votes:
234,694
| Gross:
$56.12M"
"35.
Taxi Driver
(1976)",R,114 min,"Crime, Drama",8.2,"94        
        ","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Votes:
871,823
| Gross:
$28.26M"
"37.
Léon: The Professional
(1994)",R,110 min,"Action, Crime, Drama",8.5,"64        
        ","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Votes:
1,196,823
| Gross:
$19.50M"
"38.
Knock Knock
(I) (2015)",R,99 min,"Crime, Drama, Thriller",4.9,"53        
        ","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.","Votes:
100,045
| Gross:
$0.04M"
"39.
The Drop
(2014)",R,106 min,"Crime, Drama, Thriller",7,"69        
        ","Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deeply into the neighborhood's past where friends, families, and foes all work together to make a living--no matter the cost.","Votes:
157,079
| Gross:
$10.72M"
"40.
Knives Out
(2019)",PG-13,130 min,"Comedy, Crime, Drama",7.9,"82        
        ","A detective investigates the death of the patriarch of an eccentric, combative family.","Votes:
732,597
| Gross:
$165.36M"
"41.
The Mule
(2018)",R,116 min,"Crime, Drama, Thriller",7,"58        
        ",A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,"Votes:
145,529
| Gross:
$103.80M"
"42.
Batman Begins
(2005)",PG-13,140 min,"Action, Crime, Drama",8.2,"70        
        ","After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","Votes:
1,513,571
| Gross:
$206.85M"
"43.
12 Angry Men
(1957)",Approved,96 min,"Crime, Drama",9,"97        
        ",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Votes:
820,001
| Gross:
$4.36M"
"44.
Weird: The Al Yankovic Story
(2022)",TV-14,108 min,"Comedy, Crime, Music",6.9,"70        
        ","Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle.","Votes:
31,760"
"45.
The Godfather Part II
(1974)",R,202 min,"Crime, Drama",9,"90        
        ","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Votes:
1,309,724
| Gross:
$57.30M"
"46.
John Wick: Chapter 3 - Parabellum
(2019)",R,130 min,"Action, Crime, Thriller",7.4,"73        
        ","John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.","Votes:
398,341
| Gross:
$171.02M"
"47.
Scarface
(1983)",R,170 min,"Crime, Drama",8.3,"65        
        ","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Votes:
872,910
| Gross:
$45.60M"
"48.
The Outsiders
(1983)",PG,91 min,"Crime, Drama",7,"45        
        ","The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other.","Votes:
92,292
| Gross:
$25.60M"
"49.
Georgetown
(2019)",R,99 min,"Biography, Crime, Drama",6.2,"49        
        ","Ulrich Mott, an ambitious social climber, marries a wealthy widow in Washington D.C. in order to mix with powerful political players.","Votes:
5,294"
"50.
Fantastic Mr. Fox
(2009)",PG,87 min,"Animation, Adventure, Comedy",7.9,"83        
        ",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"Votes:
250,812
| Gross:
$21.00M"
"1.
Sound of Freedom
(2023)",PG-13,131 min,"Action, Biography, Drama",8.2,"43        
        ",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.,"Votes:
22,491"
"3.
Asteroid City
(2023)",PG-13,105 min,"Comedy, Drama, Romance",6.9,"74        
        ","Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever.","Votes:
37,328"
"4.
Nimona
(2023)",PG,101 min,"Animation, Action, Adventure",7.7,"75        
        ","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","Votes:
15,615"
"7.
Elemental
(2023)",PG,101 min,"Animation, Adventure, Comedy",7.1,"58        
        ","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.","Votes:
21,970"
"9.
Titanic
(1997)",PG-13,194 min,"Drama, Romance",7.9,"75        
        ","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","Votes:
1,232,173
| Gross:
$659.33M"
"11.
Bone Tomahawk
(2015)",Not Rated,132 min,"Drama, Horror, Western",7.1,"72        
        ","In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.","Votes:
109,083"
"12.
Dune
(2021)",PG-13,155 min,"Action, Adventure, Drama",8,"74        
        ",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Votes:
692,458
| Gross:
$108.33M"
"13.
Past Lives
(2023)",PG-13,105 min,"Drama, Romance",8.4,"94        
        ","Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.","Votes:
5,811"
"14.
Knights of the Zodiac
(2023)",PG-13,112 min,"Action, Adventure, Drama",4.4,"35        
        ","When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac.","Votes:
6,493"
"16.
Top Gun: Maverick
(2022)",PG-13,130 min,"Action, Drama",8.3,"78        
        ","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Votes:
608,168
| Gross:
$718.73M"
"17.
Interstellar
(2014)",PG-13,169 min,"Adventure, Drama, Sci-Fi",8.7,"74        
        ","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Votes:
1,936,136
| Gross:
$188.02M"
"18.
Beau Is Afraid
(2023)",R,179 min,"Comedy, Drama, Horror",6.9,"63        
        ","Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.","Votes:
31,376"
"20.
A Man Called Otto
(2022)",PG-13,126 min,"Comedy, Drama",7.5,"51        
        ","Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around.","Votes:
103,222
| Gross:
$62.47M"
"21.
Don't Worry Darling
(I) (2022)",R,123 min,"Drama, Thriller",6.3,"48        
        ","While her husband leaves home everyday to work in a top secret facility, a young 1950s housewife begins to question her life when she notices strange behavior from the other wives in the neighborhood.","Votes:
120,208"
"22.
Annihilation
(I) (2018)",R,115 min,"Adventure, Drama, Horror",6.8,"79        
        ","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","Votes:
343,050
| Gross:
$32.73M"
"23.
Babylon
(I) (2022)",R,189 min,"Comedy, Drama, History",7.2,"60        
        ","A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.","Votes:
125,881"
"24.
Air
(I) (2023)",R,111 min,"Drama, Sport",7.5,"73        
        ","Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.","Votes:
123,709"
"25.
The Shawshank Redemption
(1994)",R,142 min,Drama,9.3,"82        
        ","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Votes:
2,765,943
| Gross:
$28.34M"
"26.
The Godfather
(1972)",R,175 min,"Crime, Drama",9.2,"100        
        ","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","Votes:
1,925,001
| Gross:
$134.97M"
"27.
Nobody
(I) (2021)",R,92 min,"Action, Crime, Drama",7.4,"64        
        ","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.","Votes:
293,560
| Gross:
$27.27M"
"30.
The Batman
(2022)",PG-13,176 min,"Action, Crime, Drama",7.8,"72        
        ","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","Votes:
710,616
| Gross:
$369.35M"
"31.
The Dark Knight
(2008)",PG-13,152 min,"Action, Crime, Drama",9,"84        
        ","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Votes:
2,739,285
| Gross:
$534.86M"
"32.
The Wolf of Wall Street
(2013)",R,180 min,"Biography, Comedy, Crime",8.2,"75        
        ","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Votes:
1,477,497
| Gross:
$116.90M"
"33.
The Whale
(2022)",R,117 min,Drama,7.7,"60        
        ","A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.","Votes:
161,301"
"34.
Midsommar
(2019)",R,148 min,"Drama, Horror, Mystery",7.1,"72        
        ",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,"Votes:
359,043
| Gross:
$27.33M"
"35.
Love
(II) (2015)",TV-MA,135 min,"Drama, Romance",6.1,"51        
        ","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","Votes:
63,189"
"37.
The Patriot
(2000)",R,165 min,"Action, Drama, History",7.2,"63        
        ",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,"Votes:
284,512
| Gross:
$113.33M"
"38.
A Star Is Born
(2018)",R,136 min,"Drama, Music, Romance",7.6,"88        
        ",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,"Votes:
400,645
| Gross:
$215.29M"
